Language Accuracy: 0.9788630694499146
NE Accuracy: 0.9688109161793372
Token	Gold Standard	Tagged Language	Named Entity	Evaluation
,	Punct	Punct	O	NA
por	Spn	Spn	O	Correct
poco	Spn	Spn	O	Correct
se	Spn	Spn	O	Correct
le	Spn	Spn	O	Correct
incruhta	NonStSpn	Spn	O	NA
un	Spn	Spn	O	Correct
glass	Eng	Eng	O	Correct
shard	Eng	Eng	O	Correct
en	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
ojo	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Oh	Eng	Eng	O	Correct
god	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
oh	Eng	Eng	O	Correct
god	Eng	Eng	O/ORG	Correct
for	Eng	Eng	O/ORG	Correct
what	Eng	Eng	O/ORG	Correct
almost	Eng	Eng	O/ORG	Correct
happened	Eng	Eng	O/ORG	Correct
could’ve	Eng	Eng	O/ORG	Correct
happened	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
paralizada	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
shame	Eng	Eng	O/ORG	Correct
y	Spn	Spn	O	Correct
miedo	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
veo	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
Juvenil	NamedEnt	Eng	PERSON/ORG	Correct
is	Eng	Eng	O/ORG	Correct
ashamed	Eng	Eng	O/ORG	Correct
too	Eng	Eng	O/ORG	Correct
y	Spn	Spn	O	Correct
él	Spn	Spn	O	Correct
nunca	Spn	Spn	O	Correct
ha	Spn	Spn	O	Correct
aguantado	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
sensación	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
culpa	Spn	Spn	O	Correct
pero	Spn	Spn	O	Correct
luego	Spn	Spn	O	Correct
he	Eng	Eng	O	Correct
tries	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
weasel	Eng	Eng	O	Correct
his	Eng	Eng	O	Correct
way	Eng	Eng	O	Correct
out	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
it	Eng	Eng	O	Correct
siempre	Spn	Spn	O	Correct
tan	Spn	Spn	O	Correct
ready	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
blame	Eng	Eng	O	Correct
someone	Eng	Eng	O	Correct
else	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
or	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
his	Eng	Eng	O	Correct
temper	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
"	Punct	Punct	O	NA
Al	Spn	Spn	O	Correct
llegar	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
casa	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
siento	Spn	Spn	O	Correct
on	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
floor	Eng	Eng	O	Correct
y	Spn	Spn	O	Correct
shoro	NonStSpn	Eng	O	NA
y	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
siento	Spn	Spn	O	Correct
totally	Eng	Eng	O/ORG	Correct
overwhelmed	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
wiped	Eng	Eng	O	Correct
out	Eng	Eng	O	Correct
por	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
maternidad	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
suddenly	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Por	Spn	Spn	O	Correct
esto	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
by	Eng	Eng	O	Correct
something	Eng	Eng	O/ORG	Correct
like	Eng	Eng	O/ORG	Correct
this	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
golpea	Spn	Spn	O	Correct
in	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
middle	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
whatever	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
were	Eng	Eng	O	Correct
doing	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
writing	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
living	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
siempre	Spn	Spn	O	Correct
es	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
no	Eng	Spn	O	Incorrect
matter	Eng	Eng	O/ORG	Correct
what	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
mi	Spn	Spn	O	Correct
más	Spn	Spn	O	Correct
important	Eng	Eng	O	Correct
empresa	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
pasión	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
so	Eng	Eng	O	Correct
much	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Too	Eng	Eng	O	Correct
much	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Siempre	Spn	Spn	O	Correct
he	Spn	Eng	O	Incorrect
tardado	Spn	Spn	O	Correct
tanto	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
mis	Spn	Spn	O	Correct
cosas	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
“	Punct	Punct	O	NA
realizarme	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
"	Punct	Punct	O	NA
all	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
goals	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
now	Eng	Eng	O	Correct
so	Eng	Eng	O	Correct
closeto	Mixed	Eng	O	NA
it	Eng	Eng	O/ORG	Correct
all	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
to	Eng	Eng	O	Correct
writing	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
to	Eng	Eng	O	Correct
closure	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Finally	Eng	Eng	O/PERS	Correct
,	Punct	Punct	O	NA
finally	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Beginning	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
taste	Eng	Eng	O	Correct
it	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Pero	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
pueden	Spn	Spn	O	Correct
derribar	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
cualquier	Spn	Spn	O	Correct
momento	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
kids	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
remember	Eng	Eng	O	Correct
cuando	Spn	Spn	O	Correct
él	Spn	Spn	O	Correct
nació	Spn	Spn	O	Correct
:	Punct	Punct	O	NA
I	Eng	Eng	O/ORG	Correct
sat	Eng	Eng	O/ORG	Correct
for	Eng	Eng	O/ORG	Correct
months	Eng	Eng	O/ORG	Correct
on	Eng	Eng	O	Correct
end	Eng	Eng	O	Correct
just	Eng	Eng	O/ORG	Correct
bounce	Eng	Eng	O/ORG	Correct
bounce	Eng	Eng	O/ORG	Correct
bouncing	Eng	Eng	O/ORG	Correct
him	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
con	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
pie	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
in	Eng	Eng	O	Correct
that	Eng	Eng	O/ORG	Correct
little	Eng	Eng	O/ORG	Correct
bouncyhamaca	MixedNoSpace	Spn	O/ORG	NA
thing	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
staring	Eng	Eng	O/ORG	Correct
at	Eng	Eng	O/ORG	Correct
him	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
making	Eng	Eng	O/ORG	Correct
him	Eng	Eng	O/ORG	Correct
laugh	Eng	Eng	O/ORG	Correct
.	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
would	Eng	Eng	O	Correct
doBLOOD/	EngNoSpace	Spn	O	NA
anything	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
I	Eng	Eng	O/ORG	Correct
would	Eng	Eng	O/ORG	Correct
die	Eng	Eng	O	Correct
for	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
como	Spn	Spn	O	Correct
dijo	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
protagonista	Spn	Spn	O	Correct
in	Eng	Eng	O	Correct
that	Eng	Eng	O/ORG	Correct
gorgeous	Eng	Eng	O/ORG	Correct
“	Punct	Punct	O	NA
Cal	NamedEnt	Eng	O/ORG	Correct
"	Punct	Punct	O	NA
movie	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
con	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
Mark	NamedEnt	Eng	PERSON/PERS	Correct
Knopfler	NamedEnt	Eng	PERSON/PERS	Correct
soundtrack	Eng	Eng	O/PERS	Correct
.	Punct	Punct	O	NA
Bueno	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
ya	Spn	Spn	O	Correct
sé	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
era	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
amante	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
young	Eng	Eng	O/ORG	Correct
Irish	Eng	Eng	O/ORG	Correct
revolutionary	Eng	Eng	O/ORG	Correct
guerrilla	Eng	Spn	O	Incorrect
to	Eng	Eng	O	Correct
his	Eng	Eng	O	Correct
Protestant	Eng	Eng	O/OTROS	Correct
older	Eng	Eng	O	Correct
woman	Eng	Eng	O	Correct
lover	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
pero	Spn	Spn	O	Correct
da	Spn	Spn	O	Correct
lo	Spn	Spn	O	Correct
mihmo	NonStSpn	Spn	O	NA
:	Punct	Punct	O	NA
lo	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
quiero	Spn	Spn	O	Correct
decir	Spn	Spn	O	Correct
es	Spn	Spn	O	Correct
una	Spn	Spn	O	Correct
imbancable	Spn	Spn	O	Correct
intensidad	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
esto	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
hoy	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
is	Eng	Eng	O	Correct
suddenly	Eng	Eng	O	Correct
beyond	Eng	Eng	O	Correct
me	Eng	Spn	O	Incorrect
.	Punct	Punct	O	NA
¿Qué	Spn	Spn	O	Correct
hago	Spn	Spn	O	Correct
?	Spn	Punct	O	Incorrect
Propongo	Spn	Spn	O	Correct
cursishos	NonStSpn	Spn	O	NA
de	Spn	Spn	O	Correct
“	Punct	Punct	O	NA
anger	Eng	Eng	O	Correct
management	Eng	Eng	O	Correct
"	Punct	Punct	O	NA
when	Eng	Eng	O	Correct
we	Eng	Eng	O	Correct
get	Eng	Eng	O/ORG	Correct
home	Eng	Eng	O/ORG	Correct
.	Punct	Punct	O	NA
Muy	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
lo	Spn	Spn	O	Correct
gringo	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Le	Spn	Spn	O	Correct
hablo	Spn	Spn	O	Correct
about	Eng	Eng	O	Correct
how	Eng	Eng	O	Correct
when	Eng	Eng	O	Correct
we	Eng	Eng	O	Correct
get	Eng	Eng	O/ORG	Correct
home	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
re-entry	Eng	Eng	O	Correct
into	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
gringo	Spn	Spn	O	Correct
high	Eng	Eng	O	Correct
school	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
No	Spn	Spn	O	Correct
va	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
ser	Spn	Spn	O	Correct
fácil	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Que	Spn	Spn	O	Correct
peer	Eng	Eng	O	Correct
pressure	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Que	Spn	Spn	O	Correct
si	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
dominás	Spn	Spn	O	Correct
tu	Spn	Spn	O	Correct
temper	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
how	Eng	Eng	O	Correct
are	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
going	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
be	Eng	Eng	O	Correct
able	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
drive	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Que	Spn	Spn	O	Correct
I	Eng	Eng	O/ORG	Correct
ain’t	NonStEng	Eng	O/ORG	NA
putting	Eng	Eng	O/ORG	Correct
no	Eng	Spn	O	Incorrect
out	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
control	Eng	Eng	O	Correct
Archie	NamedEnt	Eng	PERSON/PERS	Correct
Bunker	NamedEnt	Eng	PERSON/PERS	Correct
temper-tantrummer	NonStEng	Eng	O	NA
behind	Eng	Eng	O	Correct
el	Spn	Spn	O	Correct
volante	Spn	Spn	O	Correct
!	Punct	Punct	O	NA
No	Eng	Spn	O	Incorrect
way	Eng	Eng	O	Correct
!	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
si	Spn	Spn	O	Correct
sales	Spn	Spn	O	Correct
con	Spn	Spn	O	Correct
una	Spn	Spn	O	Correct
chica	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
dice	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
take	Eng	Eng	O	Correct
me	Eng	Eng	O	Correct
home	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
quiero	Spn	Spn	O	Correct
go	Eng	Eng	O	Correct
further	Eng	Eng	O	Correct
que	Spn	Spn	O	Correct
I’m	Eng	Eng	O/ORG	Correct
not	Eng	Eng	O/ORG	Correct
ready	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
what	Eng	Eng	O	Correct
are	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
going	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
do	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Put	Eng	Eng	O	Correct
your	Eng	Eng	O	Correct
hands	Eng	Eng	O	Correct
around	Eng	Eng	O	Correct
her	Eng	Eng	O	Correct
neck	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
hold	Eng	Eng	O	Correct
her	Eng	Eng	O	Correct
there	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
hold	Eng	Eng	O	Correct
her	Eng	Eng	O	Correct
down	Eng	Eng	O	Correct
against	Eng	Eng	O	Correct
her	Eng	Eng	O	Correct
will	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
muy	Spn	Spn	O	Correct
“	Punct	Punct	O	NA
Cuello	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
gatito	Spn	Spn	O/ORG	Correct
negro	Spn	Spn	O	Correct
"	Punct	Punct	O	NA
?	Spn	Punct	O	Incorrect
Y	Spn	Spn	O	Correct
casi	Spn	Spn	O	Correct
llorando	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
bien	Spn	Spn	O	Correct
palidito	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
mira	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
dice	Spn	Spn	O	Correct
I	Eng	Eng	O/ORG	Correct
don’t	Eng	Eng	O/ORG	Correct
know	Eng	Eng	O/ORG	Correct
Mom	NamedEnt	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
what	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
am	Eng	Eng	O/ORG	Correct
I	Eng	Eng	O/ORG	Correct
a	Eng	Eng	O	Correct
monster	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Siempre	Spn	Spn	O	Correct
con	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
discurso	Spn	Spn	O	Correct
of	Eng	Eng	O	Correct
I’m	Eng	Eng	O/OTROS	Correct
gonna	Eng	Eng	O/OTROS	Correct
change	Eng	Eng	O/OTROS	Correct
.	Punct	Punct	O	NA
I’m	Eng	Eng	O/ORG	Correct
gonna	Eng	Eng	O/ORG	Correct
start	Eng	Eng	O/ORG	Correct
cleaning	Eng	Eng	O/ORG	Correct
up	Eng	Eng	O/ORG	Correct
my	Eng	Eng	O/ORG	Correct
room	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
it’s	Eng	Eng	O	Correct
ALL	Eng	Eng	O/ORG	Correct
gonna	Eng	Eng	O/ORG	Correct
be	Eng	Eng	O/ORG	Correct
different	Eng	Eng	O/ORG	Correct
when	Eng	Eng	O/ORG	Correct
we	Eng	Eng	O/ORG	Correct
get	Eng	Eng	O/ORG	Correct
back	Eng	Eng	O/ORG	Correct
.	Punct	Punct	O	NA
Que	Spn	Spn	O	Correct
fresh	Eng	Eng	O	Correct
slate	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
pa	NonStSpn	Spn	O	NA
’	Punct	Punct	O	NA
mis	Spn	Spn	O	Correct
adentros	Spn	Spn	O	Correct
ay	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
that	Eng	Eng	O	Correct
is	Eng	Eng	O	Correct
SOOO	NonStEng	Eng	O/ORG	NA
much	Eng	Eng	O	Correct
el	Spn	Spn	O	Correct
clásico	Spn	Spn	O	Correct
discurso	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
alcohólico	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Of	Eng	Eng	O	Correct
an	Eng	Eng	O	Correct
addict	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Image	Eng	Eng	O	Correct
de	Spn	Spn	O	Correct
mi	Spn	Spn	O	Correct
ex-suegro	Spn	Spn	O	Correct
burning	Eng	Eng	O/ORG	Correct
in	Eng	Eng	O/ORG	Correct
my	Eng	Eng	O/ORG	Correct
brain	Eng	Eng	O/ORG	Correct
.	Punct	Punct	O	NA
You	Eng	Eng	O	Correct
pickled	Eng	Eng	O	Correct
old	Eng	Eng	O	Correct
sod	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
why	Eng	Eng	O	Correct
are	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
STILL	Eng	Eng	O	Correct
alive	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
pathetic	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
alone	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
drinking	Eng	Eng	O	Correct
yourself	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
but	Eng	Eng	O/ORG	Correct
NOT	Eng	Eng	O/ORG	Correct
to	Eng	Eng	O/ORG	Correct
death	Eng	Eng	O/ORG	Correct
,	Punct	Punct	O	NA
not	Eng	Eng	O/ORG	Correct
yet	Eng	Eng	O/ORG	Correct
.	Punct	Punct	O	NA
And	Eng	Eng	O	Correct
Ida	NamedEnt	Spn	PERSON/O	Correct
,	Punct	Punct	O	NA
mi	Spn	Spn	O	Correct
suegra	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
fresh	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
grave	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
ella	Spn	Spn	O	Correct
tan	Spn	Spn	O	Correct
buena	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
tan	Spn	Spn	O	Correct
vivaz	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
quiero	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
No	Spn	Spn	O	Correct
quiero	Spn	Spn	O	Correct
put	Eng	Eng	O	Correct
all	Eng	Eng	O/ORG	Correct
that	Eng	Eng	O/ORG	Correct
guilt	Eng	Eng	O/ORG	Correct
crap	Eng	Eng	O/ORG	Correct
and	Eng	Eng	O/ORG	Correct
heredity	Eng	Eng	O/ORG	Correct
shit	Eng	Eng	O/ORG	Correct
on	Eng	Eng	O	Correct
Joey	NamedEnt	Eng	PERSON/PERS	Correct
,	Punct	Punct	O	NA
with	Eng	Eng	O	Correct
his	Eng	Eng	O/ORG	Correct
bandaged	Eng	Eng	O/ORG	Correct
wrist	Eng	Eng	O/ORG	Correct
and	Eng	Eng	O/ORG	Correct
his	Eng	Eng	O/ORG	Correct
beautiful	Eng	Eng	O/ORG	Correct
dark	Eng	Eng	O/ORG	Correct
almond	Eng	Eng	O/ORG	Correct
eyes	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
así	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
le	Spn	Spn	O	Correct
diseño	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
self-improvement	Eng	Eng	O	Correct
course	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
paper	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
1	Num	Num	O	NA
)	Punct	Punct	O	NA
write	Eng	Eng	O	Correct
an	Eng	Eng	O	Correct
essay	Eng	Eng	O	Correct
about	Eng	Eng	O	Correct
how	Eng	Eng	O	Correct
this	Eng	Eng	O	Correct
situation	Eng	Eng	O	Correct
could	Eng	Eng	O	Correct
have	Eng	Eng	O	Correct
been	Eng	Eng	O	Correct
resolved	Eng	Eng	O	Correct
without	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
use	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
force	Eng	Eng	O	Correct
2	Num	Num	O	NA
)	Punct	Punct	O	NA
pay	Eng	Eng	O	Correct
for	Eng	Eng	O	Correct
broken	Eng	Eng	O	Correct
glass	Eng	Eng	O	Correct
with	Eng	Eng	O	Correct
allowance	Eng	Eng	O	Correct
3	Num	Num	O	NA
)	Punct	Punct	O	NA
leer	Spn	Spn	O	Correct
Lord	Eng	Eng	O/ORG	Correct
of	Eng	Eng	O/ORG	Correct
the	Eng	Eng	O/ORG	Correct
Fliesy	NamedEnt	Eng	O/ORG	Correct
analizar	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
moraleja	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Esto	Spn	Spn	O	Correct
basta	Spn	Spn	O	Correct
?	Spn	Punct	O	Incorrect
Is	Eng	Eng	O	Correct
he	Eng	Eng	O	Correct
damaged	Eng	Eng	O	Correct
?	Spn	Punct	O	Incorrect
Will	Eng	Eng	O/PERS	Correct
he	Eng	Eng	O	Correct
be	Eng	Eng	O	Correct
all	Eng	Eng	O	Correct
right	Eng	Eng	O	Correct
?	Spn	Punct	O	Incorrect
Am	Eng	Eng	O/ORG	Correct
I	Eng	Eng	O/ORG	Correct
?	Punct	Punct	O	NA
V	Num	Spn	O	NA
Celos	Spn	Spn	O/ORG	Correct
Pasional	Spn	Spn	O/ORG	Correct
Crónica	Spn	Spn	O/ORG	Correct
14	Num	Num	O	NA
julio	Spn	Spn	O	Correct
2001	Num	Num	O	NA
Buenos	NamedEnt	Spn	LOCATION/LUG	Correct
Aires	NamedEnt	Spn	LOCATION/LUG	Correct
For	Eng	Eng	O/LUG	Correct
Suzinn	NamedEnt	Eng	O/LUG	Correct
“	Punct	Punct	O	NA
Lee	NamedEnt	Eng	O/LUG	Correct
"	Punct	Punct	O	NA
Weiss	NamedEnt	Eng	ORGANIZATION/PERS	Correct
Mamá	Spn	Spn	ORGANIZATION/PERS	Correct
y	Spn	Spn	O	Correct
papá	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
after	Eng	Eng	O	Correct
their	Eng	Eng	O	Correct
flechazo	Spn	Spn	O	Correct
meeting	Eng	Eng	O	Correct
en	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
cubierta	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
ese	Spn	Spn	O	Correct
Transatlantic	Eng	Eng	O/ORG	Correct
liner	Eng	Eng	O	Correct
carrying	Eng	Eng	O	Correct
them	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
study	Eng	Eng	O	Correct
abroad	Eng	Eng	O	Correct
program	Eng	Eng	O	Correct
en	Spn	Spn	O	Correct
Madrid	NamedEnt	Spn	LOCATION/LUG	Correct
en	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
verano	Spn	Spn	O	Correct
del	Spn	Spn	O	Correct
‘	Punct	Punct	O	NA
49	Num	Num	O	NA
(	Punct	Punct	O	NA
I	Eng	Eng	O/OTROS	Correct
think	Eng	Eng	O	Correct
)	Punct	Punct	O	NA
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
after	Eng	Eng	O	Correct
su	Spn	Spn	O	Correct
cross-cultural	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
tumultuous	Eng	Eng	O	Correct
courtship	Eng	Eng	O	Correct
que	Spn	Spn	O	Correct
terminó	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
una	Spn	Spn	O	Correct
modesta	Spn	Spn	O	Correct
boda	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
front	Eng	Eng	O	Correct
lawn	Eng	Eng	O	Correct
de	Spn	Spn	O	Correct
mis	Spn	Spn	O	Correct
abuelos	Spn	Spn	O	Correct
Chávez	NamedEnt	Spn	PERSON/PERS	Correct
en	Spn	Spn	O	Correct
San	NamedEnt	Spn	LOCATION/LUG	Correct
Diego	NamedEnt	Spn	LOCATION/LUG	Correct
,	Punct	Punct	O	NA
Califas	NamedEnt	Spn	LOCATION/LUG	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
after	Eng	Eng	O	Correct
el	Spn	Spn	O	Correct
subsecuente	Spn	Spn	O	Correct
distanciamiento	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
papá	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
familia	Spn	Spn	O	Correct
judía	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
New	NamedEnt	Eng	LOCATION/OTROS	Correct
York	NamedEnt	Eng	LOCATION/OTROS	Correct
(	Punct	Punct	O	NA
especialmente	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
Grandma	NamedEnt	Eng	O/PERS	Correct
Edna	NamedEnt	Spn	O/PERS	Correct
)	Punct	Punct	O	NA
pues	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
what	Eng	Eng	O	Correct
other	Eng	Eng	O	Correct
kind	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
marriage	Eng	Eng	O	Correct
could	Eng	Eng	O	Correct
they	Eng	Eng	O	Correct
be	Eng	Eng	O	Correct
expected	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
have	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Except	Eng	Eng	O/ORG	Correct
the	Eng	Eng	O	Correct
one	Eng	Eng	O	Correct
they	Eng	Eng	O	Correct
had	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
intense	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
loud	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
sarcastic	Eng	Eng	O	Correct
